T29,Patents,,,,,
724,Spain,2021,Grants of patents (number),716,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
724,Spain,2022,Grants of patents (number),714,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
724,Spain,2005,Patents in force (number),"39,297",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
724,Spain,2010,Patents in force (number),"175,687",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
724,Spain,2020,Patents in force (number),"224,455",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
724,Spain,2021,Patents in force (number),"225,741",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
724,Spain,2022,Patents in force (number),"214,974",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,1995,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2005,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2010,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2020,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2021,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2022,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,1985,Grants of patents (number),112,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,1995,Grants of patents (number),159,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2005,Grants of patents (number),180,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2010,Grants of patents (number),504,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2020,Grants of patents (number),273,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2021,Grants of patents (number),194,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2022,Grants of patents (number),186,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2020,Patents in force (number),939,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2021,Patents in force (number),995,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
144,Sri Lanka,2022,Patents in force (number),982,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
729,Sudan,2010,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
729,Sudan,2020,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
729,Sudan,2005,Grants of patents (number),174,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
729,Sudan,2010,Grants of patents (number),125,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
729,Sudan,2020,Grants of patents (number),117,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,1985,Resident patent filings (per million population),460,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,1995,Resident patent filings (per million population),447,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2005,Resident patent filings (per million population),555,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2010,Resident patent filings (per million population),614,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2020,Resident patent filings (per million population),597,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2021,Resident patent filings (per million population),645,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2022,Resident patent filings (per million population),652,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,1985,Grants of patents (number),"5,681",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,1995,Grants of patents (number),"1,541",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2005,Grants of patents (number),"1,911",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2010,Grants of patents (number),"1,380",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2020,Grants of patents (number),"1,534",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2021,Grants of patents (number),717,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2022,Grants of patents (number),799,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2005,Patents in force (number),"102,741",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2010,Patents in force (number),"96,796",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2020,Patents in force (number),"111,789",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2021,Patents in force (number),"112,035",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
752,Sweden,2022,Patents in force (number),"112,414",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,1985,Resident patent filings (per million population),493,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,1995,Resident patent filings (per million population),411,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2005,Resident patent filings (per million population),897,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2010,Resident patent filings (per million population),"1,069",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2020,Resident patent filings (per million population),"1,099",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2021,Resident patent filings (per million population),"1,118",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2022,Resident patent filings (per million population),"1,168",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,1985,Grants of patents (number),"6,421",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,1995,Grants of patents (number),"1,303",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2010,Grants of patents (number),741,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2020,Grants of patents (number),745,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2021,Grants of patents (number),724,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2022,Grants of patents (number),782,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2005,Patents in force (number),"99,531",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2010,Patents in force (number),"123,033",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2020,Patents in force (number),"250,143",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2021,Patents in force (number),"264,909",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
756,Switzerland,2022,Patents in force (number),"241,587",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,1995,Resident patent filings (per million population),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2005,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2020,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2021,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2022,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,1995,Grants of patents (number),71,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2005,Grants of patents (number),72,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2020,Grants of patents (number),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2021,Grants of patents (number),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2022,Grants of patents (number),65,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2020,Patents in force (number),439,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2021,Patents in force (number),491,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
760,Syrian Arab Republic,2022,Patents in force (number),451,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,1995,Resident patent filings (per million population),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2005,Resident patent filings (per million population),4,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2010,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,1995,Grants of patents (number),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2010,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2021,Grants of patents (number),6,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2022,Grants of patents (number),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
762,Tajikistan,2010,Patents in force (number),248,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,1985,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,1995,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2005,Resident patent filings (per million population),14,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2010,Resident patent filings (per million population),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2020,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2021,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2022,Resident patent filings (per million population),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,1985,Grants of patents (number),45,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,1995,Grants of patents (number),470,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2005,Grants of patents (number),553,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2010,Grants of patents (number),772,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2020,Grants of patents (number),"3,525",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2021,Grants of patents (number),"2,994",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2022,Grants of patents (number),"2,213",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2010,Patents in force (number),"10,201",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2020,Patents in force (number),"17,306",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2021,Patents in force (number),"18,817",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
764,Thailand,2022,Patents in force (number),"18,856",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
768,Togo,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
768,Togo,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
776,Tonga,2020,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
776,Tonga,2021,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
776,Tonga,2020,Patents in force (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
776,Tonga,2021,Patents in force (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,1995,Resident patent filings (per million population),18,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2005,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2020,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2021,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2022,Resident patent filings (per million population),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,1995,Grants of patents (number),87,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2020,Grants of patents (number),67,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2021,Grants of patents (number),40,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2022,Grants of patents (number),49,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2021,Patents in force (number),"1,075",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
780,Trinidad and Tobago,2022,Patents in force (number),"1,040",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,1985,Resident patent filings (per million population),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,2005,Resident patent filings (per million population),5,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,2010,Resident patent filings (per million population),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,2022,Resident patent filings (per million population),16,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,1995,Grants of patents (number),141,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,2005,Grants of patents (number),338,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
788,Tunisia,2010,Grants of patents (number),620,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,1985,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,1995,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2005,Resident patent filings (per million population),15,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2010,Resident patent filings (per million population),47,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2020,Resident patent filings (per million population),101,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2021,Resident patent filings (per million population),106,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2022,Resident patent filings (per million population),110,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,1985,Grants of patents (number),385,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,1995,Grants of patents (number),763,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2005,Grants of patents (number),823,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2020,Grants of patents (number),"2,063",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2021,Grants of patents (number),"3,387",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2022,Grants of patents (number),"3,449",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2010,Patents in force (number),"24,969",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2020,Patents in force (number),"88,753",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2021,Patents in force (number),"82,425",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
792,Türkiye,2022,Patents in force (number),"80,347",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
798,Tuvalu,2020,Grants of patents (number),10,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
798,Tuvalu,2021,Grants of patents (number),11,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
798,Tuvalu,2022,Grants of patents (number),9,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
798,Tuvalu,2020,Patents in force (number),27,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
800,Uganda,1985,Grants of patents (number),26,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
800,Uganda,2020,Patents in force (number),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
800,Uganda,2021,Patents in force (number),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
800,Uganda,2022,Patents in force (number),22,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,1995,Resident patent filings (per million population),93,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2005,Resident patent filings (per million population),75,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2010,Resident patent filings (per million population),56,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2020,Resident patent filings (per million population),31,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2021,Resident patent filings (per million population),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2022,Resident patent filings (per million population),21,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,1995,Grants of patents (number),"1,350",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2005,Grants of patents (number),"3,719",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2010,Grants of patents (number),"3,874",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2020,Grants of patents (number),"2,179",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2021,Grants of patents (number),"2,298",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2022,Grants of patents (number),"1,566",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2005,Patents in force (number),"37,336",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2010,Patents in force (number),"24,622",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2020,Patents in force (number),"21,190",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2021,Patents in force (number),"18,478",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
804,Ukraine,2022,Patents in force (number),"18,806",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2010,Resident patent filings (per million population),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2020,Resident patent filings (per million population),8,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2021,Resident patent filings (per million population),7,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2022,Resident patent filings (per million population),12,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2010,Grants of patents (number),2,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2020,Grants of patents (number),506,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2021,Grants of patents (number),655,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2022,Grants of patents (number),"1,048",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2010,Patents in force (number),113,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2020,Patents in force (number),"2,416",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2021,Patents in force (number),"2,705",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
784,United Arab Emirates,2022,Patents in force (number),"3,265",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,1985,Resident patent filings (per million population),348,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,1995,Resident patent filings (per million population),321,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2005,Resident patent filings (per million population),372,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2010,Resident patent filings (per million population),333,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2020,Resident patent filings (per million population),264,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2021,Resident patent filings (per million population),257,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2022,Resident patent filings (per million population),252,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,1985,Grants of patents (number),"20,880",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,1995,Grants of patents (number),"9,473",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2005,Grants of patents (number),"10,159",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2010,Grants of patents (number),"5,594",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2020,Grants of patents (number),"9,772",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2021,Grants of patents (number),"10,895",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2022,Grants of patents (number),"10,578",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2010,Patents in force (number),"413,177",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2020,Patents in force (number),"682,245",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2021,Patents in force (number),"690,131",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
826,United Kingdom,2022,Patents in force (number),"701,292",,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
834,United Rep. of Tanzania,1985,Grants of patents (number),30,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
834,United Rep. of Tanzania,2005,Grants of patents (number),3,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
834,United Rep. of Tanzania,2010,Grants of patents (number),1,,"World Intellectual Property Organization (WIPO), Geneva, WIPO statistics database, last accessed May 2024."
